MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495", Thicko=0.124"			Time:	150.17505	Sec	11/9/2011 2:56:05 PM
Time,Axial Displacement,Axial Strain,Axial Force
Sec,in,in/in,lbf
178.96167,0.5359211,0.26649788,2771.1487
178.9917,0.5360316,0.26655653,2769.7712
179.02173,0.53615493,0.26661843,2770.2791
179.05176,0.53623497,0.26668593,2771.3281
179.08179,0.53639078,0.26672047,2773.8801
179.11182,0.53644216,0.26678309,2771.0125
179.14185,0.53649926,0.26681679,2769.6584
179.17188,0.53655154,0.26687226,2770.9551
179.2019,0.53678066,0.26693416,2769.3394
179.23193,0.53672642,0.26698431,2771.3074
179.26196,0.53691393,0.2670548,2773.2251
179.29199,0.5369963,0.26709121,2773.3806
179.32202,0.53717619,0.26714948,2773.2886
179.35205,0.53707975,0.26719394,2772.1104
179.38208,0.53721148,0.26726219,2773.8779
179.41211,0.5373258,0.26729211,2770.6301
179.44214,0.53736264,0.26736081,2775.6465
179.47217,0.5375616,0.26739797,2775.759
179.5022,0.53762829,0.26748204,2776.4619
179.53223,0.53757614,0.26751551,2769.3689
179.56226,0.53780121,0.26756185,2772.8438
179.59229,0.53782129,0.26764572,2773.54
179.62231,0.53794765,0.26765975,2771.6489
179.65234,0.5379833,0.26771474,2771.4724
179.68237,0.53809196,0.26777583,2774.6169
179.7124,0.53827685,0.26781186,2772.5491
179.74243,0.53825843,0.26790273,2774.3132
179.77246,0.53839087,0.26794395,2771.4663
179.80249,0.53849602,0.26800057,2775.0757
179.83252,0.53859437,0.2680572,2775.5559
179.86255,0.53873044,0.26808864,2774.8801
179.89258,0.53882849,0.26817,2773.7239
179.92261,0.53888607,0.26821521,2773.9766
179.95264,0.53897125,0.26826894,2775.9551
179.98267,0.53899282,0.26829344,2775.1279
180.0127,0.53917789,0.26835153,2775.24
